Étape,Translation (Tag),Angle solide (Tag),Translation (GT),Angle solide (GT)
0,0.0,-2.5047631916384715e-17,0.0,0.0
1,0.0,-2.5047631916384715e-17,0.0,0.0
2,0.03847061689320719,6.039970747688727,0.0,0.0
3,0.0,6.180894281877525e-16,0.0,0.0
4,0.0,6.180894281877525e-16,0.0,0.0
5,0.0,6.180894281877525e-16,0.0,0.0
6,0.0,6.180894281877525e-16,0.0,0.0
7,0.0,6.180894281877525e-16,0.0,0.0
8,0.009074757846616426,-8.416651077041404,0.0,9.99999970909292
9,0.0,-1.9801785183287306e-16,0.0,3.9837942269577366e-16
10,0.0,-1.9801785183287306e-16,0.0,3.9837942269577366e-16
11,0.009858458589509867,9.753035135613736,0.0,9.999999709092918
12,0.015418743655814773,1.9422356758273291,0.0,3.3306747943777367e-15
13,0.015418743655814773,-1.9422356758273296,0.0,3.3306747943777367e-15
14,0.0,-7.577750207478179e-16,0.0,3.3306747943777367e-15
15,0.0,-7.577750207478179e-16,0.0,3.3306747943777367e-15
16,0.0,-7.577750207478179e-16,0.0,3.3306747943777367e-15
17,0.0,-7.577750207478179e-16,0.0,3.3306747943777367e-15
18,0.0,-7.577750207478179e-16,0.0,3.3306747943777367e-15
19,0.0,-7.577750207478179e-16,0.0,3.3306747943777367e-15
20,0.016388794932178978,-1.665488542677379,0.0,3.3306747943777367e-15
21,0.02324315606576696,10.731366304296701,0.0,10.000001416640213
22,0.0,1.6612052623870648e-15,0.0,1.1820692172523178e-15
23,0.0,1.6612052623870648e-15,0.0,1.1820692172523178e-15
24,0.0,1.6612052623870648e-15,0.0,1.1820692172523178e-15
25,0.0,1.6612052623870648e-15,0.0,1.1820692172523178e-15
26,0.0,1.6612052623870648e-15,0.0,1.1820692172523178e-15
27,0.0,1.6612052623870648e-15,0.0,1.1820692172523178e-15
28,0.0,1.6612052623870648e-15,0.0,1.1820692172523178e-15
29,0.0,1.6612052623870648e-15,0.0,1.1820692172523178e-15
30,0.0,1.6612052623870648e-15,0.0,1.1820692172523178e-15
31,0.0,1.6612052623870648e-15,0.0,1.1820692172523178e-15
32,0.0,1.6612052623870648e-15,0.0,1.1820692172523178e-15
33,0.0,1.6612052623870648e-15,0.0,1.1820692172523178e-15
34,0.0,1.6612052623870648e-15,0.0,1.1820692172523178e-15
35,0.010920612546208817,-9.726264417369682,0.0,9.999998001545626
36,0.0007453111231282923,0.7322814517729801,0.0,2.220391041302089e-15
37,0.0,-9.814724584046315e-16,0.0,2.220391041302089e-15
38,0.0,-9.814724584046315e-16,0.0,2.220391041302089e-15
39,0.0,-9.814724584046315e-16,0.0,2.220391041302089e-15
40,0.0,-9.814724584046315e-16,0.0,2.220391041302089e-15
41,0.0,-9.814724584046315e-16,0.0,2.220391041302089e-15
42,0.012977647754724757,-10.081199476970278,0.0,10.00000141664021
43,0.0,-3.1728338067155387e-16,0.0,7.126983544440844e-17
44,0.0,-3.1728338067155387e-16,0.0,7.126983544440844e-17
45,0.0,-3.1728338067155387e-16,0.0,7.126983544440844e-17
46,0.0,-3.1728338067155387e-16,0.0,7.126983544440844e-17
47,0.0,-3.1728338067155387e-16,0.0,7.126983544440844e-17
48,0.0,-3.1728338067155387e-16,0.0,7.126983544440844e-17
49,0.0,-3.1728338067155387e-16,0.0,7.126983544440844e-17
50,0.0,-3.1728338067155387e-16,0.0,7.126983544440844e-17
51,0.0,-3.1728338067155387e-16,0.0,7.126983544440844e-17
52,0.0,-3.1728338067155387e-16,0.0,7.126983544440844e-17
53,0.011779660798592464,10.01712743860457,0.0,10.000001416640224
54,0.0,-1.3687393707137284e-15,0.0,5.694761242451108e-15
55,0.0,-1.3687393707137284e-15,0.0,5.694761242451108e-15
56,0.0,-1.3687393707137284e-15,0.0,5.694761242451108e-15
57,0.0,-1.3687393707137284e-15,0.0,5.694761242451108e-15
58,0.0017672183248320602,-10.20797279805864,0.0,9.999998001545624
59,0.0025214894063756705,-1.9083579341038752,0.0,0.0
60,0.0025214894063756705,1.9083579341038786,0.0,0.0
61,0.0,2.4489940221054588e-15,0.0,0.0
62,0.0,2.4489940221054588e-15,0.0,0.0
63,0.0,2.4489940221054588e-15,0.0,0.0
64,0.0,2.4489940221054588e-15,0.0,0.0
65,0.0,2.4489940221054588e-15,0.0,0.0
66,0.0,2.4489940221054588e-15,0.0,0.0
67,0.0011524820678797496,-9.94049165089908,0.0,9.999998001545633
68,0.011293312009558363,0.3296394851981469,0.0,1.6908825848870454e-18
69,0.0,3.720535932545207e-15,0.0,1.6908825848870454e-18
70,0.0,3.720535932545207e-15,0.0,1.6908825848870454e-18
71,0.012185640498797529,0.33279794548680214,0.0,1.6908825848870454e-18
72,0.014987679371320143,81.91314840866703,0.0,80.62254444556497
73,0.060510234197133465,9.359177894982754,0.0,9.999999709092918
74,0.0,-3.081567962733705e-15,0.0,3.3306747943777367e-15
75,0.0,-3.081567962733705e-15,0.0,3.3306747943777367e-15
76,0.048044576532818344,-1.9491658521751292,0.0,3.3306747943777367e-15
77,0.0,8.44675633659198e-16,0.0,3.3306747943777367e-15
78,0.0,8.44675633659198e-16,0.0,3.3306747943777367e-15
79,0.0,8.44675633659198e-16,0.0,3.3306747943777367e-15
80,0.0,8.44675633659198e-16,0.0,3.3306747943777367e-15
81,0.0,8.44675633659198e-16,0.0,3.3306747943777367e-15
82,0.0,8.44675633659198e-16,0.0,3.3306747943777367e-15
83,0.0,8.44675633659198e-16,0.0,3.3306747943777367e-15
84,0.0009255847993917936,10.544161438602302,0.0,10.000001416640213
85,0.0,1.6898653883991857e-15,0.0,1.1820692172523178e-15
86,0.0,1.6898653883991857e-15,0.0,1.1820692172523178e-15
87,0.0005589060465680105,-0.778778700385038,0.0,1.1820692172523178e-15
88,0.0,4.9924919423222064e-17,0.0,1.1820692172523178e-15
89,0.0005589060465680105,0.7787787003850348,0.0,1.1820692172523178e-15
90,0.0,1.6898653883991857e-15,0.0,1.1820692172523178e-15
91,0.012729179597988631,-0.9716469434521354,0.0,1.1820692172523178e-15
92,0.0,1.1666340265879366e-15,0.0,1.1820692172523178e-15
93,0.005907335423834923,14.587087266945488,0.0,9.999998001545626
94,0.0065073024601910445,-5.646478188521827,0.0,2.220391041302089e-15
95,0.0,-5.086720011461154e-15,0.0,2.220391041302089e-15
96,0.0,-5.086720011461154e-15,0.0,2.220391041302089e-15
97,0.01310904916792766,1.1208236126198747,0.0,2.220391041302089e-15
98,0.01310904916792766,-1.1208236126198747,0.0,2.220391041302089e-15
99,0.0,-5.086720011461154e-15,0.0,2.220391041302089e-15
100,0.0,-5.086720011461154e-15,0.0,2.220391041302089e-15
101,0.023516756222207485,11.796935923216745,0.0,10.00000141664021
102,0.0005088699373952185,-0.538081889343963,0.0,7.126983544440844e-17
103,0.0,-8.412675546795343e-15,0.0,7.126983544440844e-17
104,0.0,-8.412675546795343e-15,0.0,7.126983544440844e-17
105,0.0005073124518024952,-0.5827253058044404,0.0,7.126983544440844e-17
106,0.0005073124518024952,0.5827253058044323,0.0,7.126983544440844e-17
107,0.0,-8.412675546795343e-15,0.0,7.126983544440844e-17
108,0.0018804271434428948,10.03600721792244,0.0,10.000001416640224
109,0.0,7.891476226421794e-15,0.0,5.694761242451108e-15
110,0.0,7.891476226421794e-15,0.0,5.694761242451108e-15
111,0.0,7.891476226421794e-15,0.0,5.694761242451108e-15
112,0.0,7.891476226421794e-15,0.0,5.694761242451108e-15
113,0.0,7.891476226421794e-15,0.0,5.694761242451108e-15
114,0.0,7.891476226421794e-15,0.0,5.694761242451108e-15
115,0.0,7.891476226421794e-15,0.0,5.694761242451108e-15
116,0.0,7.891476226421794e-15,0.0,5.694761242451108e-15
117,0.0,7.891476226421794e-15,0.0,5.694761242451108e-15
118,0.0004971972170033081,-0.48920671465793264,0.0,5.694761242451108e-15
119,0.0013970608562357927,10.680652421072528,0.0,9.999998001545624
120,0.0,4.461438095112984e-15,0.0,0.0
121,0.0,4.461438095112984e-15,0.0,0.0
122,0.010702911268137766,-1.6861590364409387,0.0,0.0
123,0.0,8.617723472043042e-16,0.0,0.0
124,0.0,8.617723472043042e-16,0.0,0.0
125,0.0,8.617723472043042e-16,0.0,0.0
126,0.02554836880386416,67.90998301118607,0.0,70.7106509595487
127,0.0,-6.271362887528598e-16,0.0,3.9837942269577366e-16
128,0.006143994604601133,8.872920503815036,0.0,3.9837942269577366e-16
129,0.0,-9.231695867826872e-16,0.0,3.9837942269577366e-16
130,0.0,-9.231695867826872e-16,0.0,3.9837942269577366e-16
131,0.014602587893363292,11.248716098965772,0.0,9.999999709092918
132,0.0,5.984216160625507e-16,0.0,-3.3306747943777367e-15
133,0.0,5.984216160625507e-16,0.0,-3.3306747943777367e-15
134,0.0,5.984216160625507e-16,0.0,-3.3306747943777367e-15
135,0.0,5.984216160625507e-16,0.0,-3.3306747943777367e-15
136,0.0,5.984216160625507e-16,0.0,-3.3306747943777367e-15
137,0.0,5.984216160625507e-16,0.0,-3.3306747943777367e-15
138,0.0,5.984216160625507e-16,0.0,-3.3306747943777367e-15
139,0.0,5.984216160625507e-16,0.0,-3.3306747943777367e-15
140,0.0,5.984216160625507e-16,0.0,-3.3306747943777367e-15
141,0.0,5.984216160625507e-16,0.0,-3.3306747943777367e-15
142,0.0007453537365740012,10.398481650026831,0.0,10.000001416640211
143,0.0,1.3185986833822305e-15,0.0,-1.1820692172523178e-15
144,0.0,1.3185986833822305e-15,0.0,-1.1820692172523178e-15
145,0.0,1.3185986833822305e-15,0.0,-1.1820692172523178e-15
146,0.0,1.3185986833822305e-15,0.0,-1.1820692172523178e-15
147,0.0,1.3185986833822305e-15,0.0,-1.1820692172523178e-15
148,0.0,1.3185986833822305e-15,0.0,-1.1820692172523178e-15
149,0.016462670245917,9.991983827015904,0.0,9.999998001545626
150,0.0,-2.847380621225554e-15,0.0,-2.220391041302089e-15
151,0.0,-2.847380621225554e-15,0.0,-2.220391041302089e-15
152,0.0,-2.847380621225554e-15,0.0,-2.220391041302089e-15
153,0.0,-2.847380621225554e-15,0.0,-2.220391041302089e-15
154,0.0,-2.847380621225554e-15,0.0,-2.220391041302089e-15
155,0.0,-2.847380621225554e-15,0.0,-2.220391041302089e-15
156,0.0,-2.847380621225554e-15,0.0,-2.220391041302089e-15
157,0.0,-2.847380621225554e-15,0.0,-2.220391041302089e-15
158,0.0,-2.847380621225554e-15,0.0,-2.220391041302089e-15
159,0.0,-2.847380621225554e-15,0.0,-2.220391041302089e-15
160,1.2085113103318035e-11,11.874832200211735,0.0,10.00000141664021
161,0.0,-2.8470378612463657e-15,0.0,7.126983544440844e-17
162,0.0,-2.8470378612463657e-15,0.0,7.126983544440844e-17
163,0.015701500995326405,10.17731336952446,0.0,10.000001416640224
164,0.0,-2.383749228525239e-15,0.0,5.694761242451108e-15
165,0.0,-2.383749228525239e-15,0.0,5.694761242451108e-15
166,0.0,-2.383749228525239e-15,0.0,5.694761242451108e-15
167,0.0,-2.383749228525239e-15,0.0,5.694761242451108e-15
168,0.011008250587267208,12.191327936659999,0.0,9.999998001545624
169,0.01079954430772739,-8.409044568748,0.0,0.0
170,0.0,3.872537971038175e-15,0.0,0.0
171,0.0,3.872537971038175e-15,0.0,0.0
172,0.0,3.872537971038175e-15,0.0,0.0
173,0.0,3.872537971038175e-15,0.0,0.0
174,0.0,3.872537971038175e-15,0.0,0.0
175,0.0,3.872537971038175e-15,0.0,0.0
176,0.0,3.872537971038175e-15,0.0,0.0
177,0.0,3.872537971038175e-15,0.0,0.0
178,0.0,3.872537971038175e-15,0.0,0.0
179,0.0,3.872537971038175e-15,0.0,0.0
180,0.0,3.872537971038175e-15,0.0,0.0
181,0.0,3.872537971038175e-15,0.0,0.0
182,0.007577833559403681,12.475093593030241,0.0,9.999998001545633
